字符串	类型	编码	出现次数	来源
u@RQ	ASCII	ascii	1	CEO.exe@RVA 3B88A
uAPj	ASCII	ascii	1	CEO.exe@RVA 30000
uGC;]	ASCII	ascii	1	CEO.exe@RVA 64F0A
uH95	ASCII	ascii	1	CEO.exe@RVA 451DF
uNSW	ASCII	ascii	1	CEO.exe@RVA 93CB9
uO9D	ASCII	ascii	1	CEO.exe@RVA 339C2
uP95	ASCII	ascii	1	CEO.exe@RVA 451D7
uR;E	ASCII	ascii	1	CEO.exe@RVA 6A9EC
uTVWhl	ASCII	ascii	1	CEO.exe@RVA 897E4
uU9D	ASCII	ascii	1	CEO.exe@RVA 339BC
uU9U	ASCII	ascii	1	CEO.exe@RVA 8FBA5
uX95 	ASCII	ascii	1	CEO.exe@RVA 451CF
uXO=	ASCII	ascii	1	CEO.exe@RVA A6A9C
u`95	ASCII	ascii	1	CEO.exe@RVA 451C7
u`9]	ASCII	ascii	1	CEO.exe@RVA 9D31D
uahXt	ASCII	ascii	1	CEO.exe@RVA 59979
ugF;	ASCII	ascii	1	CEO.exe@RVA 445CE
uk8F	ASCII	ascii	1	CEO.exe@RVA 7D866
unfree memory %X: %s line:%d	ASCII	ascii	1	CEO.exe@RVA A4A30
unknown compression method	ASCII	ascii	1	CEO.exe@RVA A5188
unknown memory block	ASCII	ascii	1	CEO.exe@RVA A4ABC
unputobj failure	ASCII	ascii	1	CEO.exe@RVA A62BC
upWj	ASCII	ascii	1	CEO.exe@RVA 110AD
uqVj	ASCII	ascii	1	CEO.exe@RVA 520B2
v*V+	ASCII	ascii	1	CEO.exe@RVA 7F855
v4;5	ASCII	ascii	1	CEO.exe@RVA 9A133
vH7Bmachine_type.cpp	ASCII	ascii	1	CEO.exe@RVA A2FBC
vL;5	ASCII	ascii	1	CEO.exe@RVA 9A231
wF;u	ASCII	ascii	1	CEO.exe@RVA 64FDB
water_soil.fce	ASCII	big5	1	FACE.APKG@#272
water_soil.h	ASCII	big5	1	FACE.APKG@#273
wf93t	ASCII	ascii	1	CEO.exe@RVA 93741
win_do:	ASCII	ascii	1	CEO.exe@RVA A3648
win_face.fce	ASCII	big5	1	FACE.APKG@#274
win_face.h	ASCII	big5	1	FACE.APKG@#275
win_face.idx2	ASCII	big5	1	FACEPICS.APKG@#211
win_face.pic2	ASCII	big5	1	FACEPICS.APKG@#212
win_req:	ASCII	ascii	1	CEO.exe@RVA A3650
wkrfill	ASCII	ascii	1	CEO.exe@RVA A44E8
woVW	ASCII	ascii	1	CEO.exe@RVA 8B035
wrong objid	ASCII	ascii	1	CEO.exe@RVA A628C
wwxwwx0	ASCII	ascii	1	CEO.exe@RVA 4F8297
w}?0	ASCII	ascii	1	CEO.exe@RVA A76A5
x%BG	ASCII	ascii	1	CEO.exe@RVA 7BE8A
x7;M	ASCII	ascii	1	CEO.exe@RVA 85A09
x;;M	ASCII	ascii	1	CEO.exe@RVA 85929
x=%d y=%d  Cycle=%d Turbo=%d	ASCII	ascii	1	CEO.exe@RVA A27EC
x=%d y=%d  mx=%d my=%d vx=%d vy=%d Cycle=%d Turbo=%d fisht0=%d	ASCII	ascii	1	CEO.exe@RVA A280C
xQ;}	ASCII	ascii	1	CEO.exe@RVA 858A2
xR;5	ASCII	ascii	1	CEO.exe@RVA 879D9
xR;}	ASCII	ascii	1	CEO.exe@RVA 85918
xV;U	ASCII	ascii	1	CEO.exe@RVA D082
xj;E	ASCII	ascii	1	CEO.exe@RVA 85812
xppwpp	ASCII	ascii	1	CEO.exe@RVA ABE29
xq;E	ASCII	ascii	1	CEO.exe@RVA 85773
y\t_^3	ASCII	ascii	1	CEO.exe@RVA 855CA
y$_^]	ASCII	ascii	1	CEO.exe@RVA 68827
y$c~	ASCII	ascii	1	CEO.exe@RVA 2C23C
y1~?|"	ASCII	ascii	1	CEO.exe@RVA A76B4
y:hQ	ASCII	ascii	1	CEO.exe@RVA 85FFC
z1}B	ASCII	ascii	1	CEO.exe@RVA A6FB2
z=SV	ASCII	ascii	1	CEO.exe@RVA 52B3
z?aUY	ASCII	ascii	1	CEO.exe@RVA B94DE
zAQj	ASCII	ascii	1	CEO.exe@RVA 30090
zc%C1	ASCII	ascii	1	CEO.exe@RVA B9520
zyC7	ASCII	ascii	1	CEO.exe@RVA A9B49
{4Wf	ASCII	ascii	1	CEO.exe@RVA A7A23
{4_^3	ASCII	ascii	1	CEO.exe@RVA 74B1C
{^C=	ASCII	ascii	1	CEO.exe@RVA A85DC
|\t_[3	ASCII	ascii	1	CEO.exe@RVA 88289
|)P!?Ua0	ASCII	ascii	1	CEO.exe@RVA A7423
|-;E	ASCII	ascii	1	CEO.exe@RVA 8D1E0
|-;M	ASCII	ascii	1	CEO.exe@RVA 6E9B5
|0 1	ASCII	ascii	1	CEO.exe@RVA 4FA224
|4;E	ASCII	ascii	1	CEO.exe@RVA 6DA8E
|5;U	ASCII	ascii	1	CEO.exe@RVA 6DB9E
|6;M	ASCII	ascii	1	CEO.exe@RVA 6ECDC
|6;U	ASCII	ascii	1	CEO.exe@RVA 6E883
|8;~ }3;^$}.	ASCII	ascii	1	CEO.exe@RVA 86CB6
|9;w	ASCII	ascii	1	CEO.exe@RVA 68B18
|:;O	ASCII	ascii	1	CEO.exe@RVA 68C08
|:hn	ASCII	ascii	1	CEO.exe@RVA 1D510
|<;~ }7;F$}2	ASCII	ascii	1	CEO.exe@RVA 86FAE
|A;5D	ASCII	ascii	1	CEO.exe@RVA 24AE2
|I;=@	ASCII	ascii	1	CEO.exe@RVA 24ADA
|I;E	ASCII	ascii	1	CEO.exe@RVA 85495
|S;]	ASCII	ascii	1	CEO.exe@RVA 6E411
|SVW	ASCII	ascii	1	CEO.exe@RVA 25243
|U;]	ASCII	ascii	1	CEO.exe@RVA 6E15F
|W8A=	ASCII	ascii	1	CEO.exe@RVA A756B
|^;E	ASCII	ascii	1	CEO.exe@RVA 6AC47
|g;^ }b	ASCII	ascii	1	CEO.exe@RVA 6913A
|pSh-	ASCII	ascii	1	CEO.exe@RVA 650F2
|u?!u$	ASCII	ascii	1	CEO.exe@RVA ABF95
|x;]	ASCII	ascii	1	CEO.exe@RVA 6E298
|x;^4u	ASCII	ascii	1	CEO.exe@RVA 803F4
} h`y	ASCII	ascii	1	CEO.exe@RVA 7F5BA
}$@PV	ASCII	ascii	1	CEO.exe@RVA CB99
}/W3	ASCII	ascii	1	CEO.exe@RVA 82DE7
}3;^	ASCII	ascii	1	CEO.exe@RVA 85254
}4;G }/	ASCII	ascii	1	CEO.exe@RVA 68B1D
}5;_ }0	ASCII	ascii	1	CEO.exe@RVA 68C0D
}8h%	ASCII	ascii	1	CEO.exe@RVA 699D8
}9;=H	ASCII	ascii	1	CEO.exe@RVA 24AEA
}AG;~	ASCII	ascii	1	CEO.exe@RVA 64F10
}S;U	ASCII	ascii	1	CEO.exe@RVA D0E3
}U;5	ASCII	ascii	1	CEO.exe@RVA 8797D
}\S3	ASCII	ascii	1	CEO.exe@RVA 83107
}~:f	ASCII	ascii	1	CEO.exe@RVA A75B9
~\t[^3	ASCII	ascii	1	CEO.exe@RVA D12A
~%9M	ASCII	ascii	1	CEO.exe@RVA 9B477
~&h^	ASCII	ascii	1	CEO.exe@RVA 675E1
~(9~$u	ASCII	ascii	1	CEO.exe@RVA 70D10
~*L=	ASCII	ascii	1	CEO.exe@RVA A889C
~,WPV	ASCII	ascii	1	CEO.exe@RVA 8B119
~/;V	ASCII	ascii	1	CEO.exe@RVA 670C0
~/W3	ASCII	ascii	1	CEO.exe@RVA 2F30A
~1W3	ASCII	ascii	1	CEO.exe@RVA 6586A
~;f9N	ASCII	ascii	1	CEO.exe@RVA 3E8F
~@9=	ASCII	ascii	1	CEO.exe@RVA 8346B
~A;L	ASCII	ascii	1	CEO.exe@RVA 8DA5B
~JVW	ASCII	ascii	1	CEO.exe@RVA 2B752
~J_^3	ASCII	ascii	1	CEO.exe@RVA 6F017
~LSVW	ASCII	ascii	1	CEO.exe@RVA 68F7C
~M_^3	ASCII	ascii	1	CEO.exe@RVA 6F0E7
~P;X	ASCII	ascii	1	CEO.exe@RVA 66CD3
~SSV	ASCII	ascii	1	CEO.exe@RVA 8D8E0
~]VS	ASCII	ascii	1	CEO.exe@RVA 2967E
~^Vj	ASCII	ascii	1	CEO.exe@RVA 10D70
~_Sj	ASCII	ascii	1	CEO.exe@RVA 2E63D
~_Vj	ASCII	ascii	1	CEO.exe@RVA 2E432
~`Vj	ASCII	ascii	1	CEO.exe@RVA 114F0
~b;7r	ASCII	ascii	1	CEO.exe@RVA 6A8D4
~c;X	ASCII	ascii	1	CEO.exe@RVA 66E03
~iSV	ASCII	ascii	1	CEO.exe@RVA 7292F
~mVj	ASCII	ascii	1	CEO.exe@RVA 32B91
~p;Y	ASCII	ascii	1	CEO.exe@RVA 67013
~pVj	ASCII	ascii	1	CEO.exe@RVA 57A0F
~u;Y	ASCII	ascii	1	CEO.exe@RVA 66EB7
~uVW	ASCII	ascii	1	CEO.exe@RVA A0D2
~xSW3	ASCII	ascii	1	CEO.exe@RVA 1EDCD
~zSV	ASCII	ascii	1	CEO.exe@RVA B191
「小型採礦機」需要３位工人，按下工人薪資預算旁的	中文	big5	1	CEO.exe@RVA A3EC0
「採礦機」做出的木材需要「紅色棧板」來存放，點選右下的「齒輪」進入購買設備選單購買「紅色棧板」。	中文	big5	1	CEO.exe@RVA A3DE0
一開始持有的礦產	中文	big5	1	data/AI_style.csv@L1
上年度淨利為正	中文	big5	1	data/Talk_idx.csv@L11
上年度淨利為負	中文	big5	1	data/Talk_idx.csv@L12
上海	中文	big5	1	data/Citys.csv@L8
不 採 購	中文	big5	1	data/txts.csv@L1
不 銷 售	中文	big5	1	data/txts.csv@L1
不 零 售	中文	big5	1	data/txts.csv@L1
不用說轉虧為盈這種小事了，只要微硬想要，任何生意都是難不倒的，因為微硬就是這麼有辦法！	中文	big5	1	data/Talk.csv@L98
不管你們同不同意，我—鐵男克勞斯，決定在此設廠，身為萊因騎士的我，就算傾家蕩產我也絕不後悔！	中文	big5	1	data/Talk.csv@L8
不要用那種充滿敵意的眼神看我，七十一企業永遠是各位的好朋友，希望和大家一起共創財富！	中文	big5	1	data/Talk.csv@L6
不！我不信微硬倒了，微硬這麼有辦法，絕不會就這麼倒了！	中文	big5	1	data/Talk.csv@L105
世界	中文	big5	1	data/maps.csv@L21
主力產品	中文	big5	1	data/AIInfo.csv@L1
主體	中文	big5	1	data/Mur.csv@L2
事件圖出現機率, 每月發生機率=(n/1000)	中文	big5	1	data/formula.csv@L138
人力成本= 生產該箱產品所耗時間 * (工人時薪*工人數 + 管理者時薪*管理人數)	中文	big5	1	data/formula.csv@L64
人口分布	中文	big5	1	data/smapmenu.csv@L1
人口總數	中文	big5	1	data/Stages.csv@L1
人氣商場 2x2	中文	big5	1	data/build_relation.csv@L34
人氣商場 4x4	中文	big5	1	data/build_relation.csv@L35
人氣商場地板	中文	big5	1	data/smapclr.csv@L15
人氣商場已成為微利時代企業競爭的有力工具，您受總公司任命，擔任遠東地區總裁，目標是在10年內，為公司在這個地區設立3間大型人氣商場。	中文	big5	1	data/Stages.csv@L15
人氣商場目標	中文	big5	1	data/Stages.csv@L1
什麼都賣難道也有錯，為什麼我的財產越來越少？	中文	big5	1	data/Talk.csv@L90
以速度取勝的晶圓製造機，雖然犧牲了品質，且耗材略多，但能迅速量產，在市場上搶得先機。	中文	big5	1	data/Machine_type.csv@L195
以速度取勝的電腦製造機，雖然犧牲了品質，且耗材略多，但能迅速量產，在市場上搶得先機。	中文	big5	1	data/Machine_type.csv@L180
以速度取勝的高速加工機，雖然犧牲了品質，耗材略多，但能快速將產品堆滿您的庫房。	中文	big5	1	data/Machine_type.csv@L330
以速度取勝的高速化工機，雖然犧牲了品質，耗材略多，但能快速將產品堆滿您的庫房。	中文	big5	1	data/Machine_type.csv@L210
以速度取勝的高速塑化機，雖然犧牲了品質，耗材略多，但能快速將產品堆滿您的庫房。	中文	big5	1	data/Machine_type.csv@L105
以速度取勝的高速採礦機，雖然犧牲了品質，但能快速將礦產堆滿您的庫房。	中文	big5	1	data/Machine_type.csv@L34
以速度取勝的高速木工機，雖然犧牲了品質，耗材略多，但能快速將產品堆滿您的庫房。	中文	big5	1	data/Machine_type.csv@L80
以速度取勝的高速燒窯機，雖然犧牲了品質，耗材略多，但能快速將產品堆滿您的庫房。	中文	big5	1	data/Machine_type.csv@L235
以速度取勝的高速紡織機，雖然犧牲了品質，耗材略多，但能快速將產品堆滿您的庫房。	中文	big5	1	data/Machine_type.csv@L55
以速度取勝的高速輪車機，雖然犧牲了品質，耗材略多，但能快速將產品堆滿您的庫房。	中文	big5	1	data/Machine_type.csv@L260
以速度取勝的高速重電機，雖然犧牲了品質，耗材略多，但能快速將產品堆滿您的庫房。	中文	big5	1	data/Machine_type.csv@L155
以速度取勝的高速電子機，雖然犧牲了品質，耗材略多，但能快速將產品堆滿您的庫房。	中文	big5	1	data/Machine_type.csv@L130
以速度取勝的高速食品機，雖然犧牲了品質，耗材略多，但能快速將產品堆滿您的庫房。	中文	big5	1	data/Machine_type.csv@L305
以高速生產為目標的精工機，雖然降低了品質，且耗材較多，但傲人的生產速度，絕對能解決您供貨不及的困擾。	中文	big5	1	data/Machine_type.csv@L353
任務目標:	中文	big5	1	data/txts.csv@L10
任務說明	中文	big5	1	data/Stages.csv@L1
企業	中文	big5	1	data/Talk.csv@L1
企業名稱	中文	big5	1	data/AIInfo.csv@L1
企業淨值 = 現金 + 地皮 + 機器 + 商品 - 貸款	中文	big5	1	data/formula.csv@L115
企業開始營運時	中文	big5	1	data/Talk_idx.csv@L2
低薪政策優勢	中文	big5	1	data/AIInfo.csv@L5
你們這些專門剝削消費者的臭男人小心點，我賈美女也要開始零售 %s ，你們等著被消費者唾棄吧！	中文	big5	1	data/Talk.csv@L79
你可以按幾次	中文	big5	1	CEO.exe@RVA A47F9
你的 %s 遲早會被市場淘汰的，為什麼？因為微硬就是有辦法！	中文	big5	1	data/Talk.csv@L41
你知道的，微硬的作風一向溫和，這次投入 %s 生產，也是希望藉由市場競爭機制，讓貴公司被自然淘汰！	中文	big5	1	data/Talk.csv@L55
你知道的，賣和微硬一樣的產品等於找死，勸你還是放棄 %s 的生意吧！	中文	big5	1	data/Talk.csv@L69
你能生產出媲美敗耳產品的 %s 確實不是凡人，不過身為萊因騎士的我，絕不會就此罷休的！	中文	big5	1	data/Talk.csv@L43
你這個臭男人為什麼偏偏和我過不去？竟然抄襲我賣起 %s 來了，等著接我的律師函吧！	中文	big5	1	data/Talk.csv@L64
你這個臭男人究竟想幹什麼？ %s 是屬於我的市場，誰也別想搶走！	中文	big5	1	data/Talk.csv@L36
使用更多飼料，並注射生長激素加快牲畜的生長速度，雖然品質略受影響，但能達到量產目標。	中文	big5	1	data/Machine_type.csv@L3
使用標準程序的精工機，精品製造業使用廣泛的實用型機種，如果您對產品沒什麼特別要求，標準型就是最佳選擇了。	中文	big5	1	data/Machine_type.csv@L352
依分數高低排出所有有該項商品的零售點, 依序造訪, 購買所需物資	中文	big5	1	data/formula.csv@L21
保守程度(分數越高會保留越多現金)	中文	big5	1	data/AI_style.csv@L1
修理費用	中文	big5	1	data/Machine_type.csv@L1
個「紅色棧板」喔。	中文	big5	1	CEO.exe@RVA A3DCC
倒閉時	中文	big5	1	data/Talk_idx.csv@L10
倫敦	中文	big5	1	data/Citys.csv@L10
停工圖	中文	big5	1	data/Machine_type.csv@L1
停止	中文	big5	1	data/txts.csv@L6
備註	中文	big5	1	data/news.csv@L1
價格優先:	中文	big5	1	data/formula.csv@L92
價錢 = 單箱價格 + 攤分的運費	中文	big5	1	data/formula.csv@L93
價錢: 單箱價格 + 攤分的運費	中文	big5	1	data/formula.csv@L76
元素: 品質, 價格, 價位(標準價), 距離, 消費人吸引力(魅力), 平均收入	中文	big5	1	data/formula.csv@L9
先利用小地圖找出有「木材資源」的地方。	中文	big5	1	CEO.exe@RVA A4944
克勞斯	中文	big5	1	data/AIInfo.csv@L7
入口X	中文	big5	1	data/Machine_type.csv@L1
入口Y	中文	big5	1	data/Machine_type.csv@L1
內部	中文	big5	1	data/txts.csv@L5
內部採購	中文	big5	1	data/txts.csv@L2
內部採購:	中文	big5	1	data/formula.csv@L97
內部銷售	中文	big5	1	data/txts.csv@L2
其他用色	中文	big5	1	data/news.csv@L1
其它貨物的 標準價 = 約略成本 * C1/C2	中文	big5	1	data/formula.csv@L3
出口X	中文	big5	1	data/Machine_type.csv@L1
出口Y	中文	big5	1	data/Machine_type.csv@L1
出現年代	中文	big5	1	data/People_type.csv@L1
出現機會1	中文	big5	1	data/building.csv@L69
出現機會2	中文	big5	1	data/building.csv@L69
別以為生產出 %s 就能擊敗我，就算你得到我的錢，也得不到我的人！	中文	big5	1	data/Talk.csv@L37
別以為開始賣 %s 就能讓我屈服，你可以打聽打聽，我賈美女在業界打滾了二十年，可不是省油的燈！	中文	big5	1	data/Talk.csv@L65
創業王	中文	big5	1	CEO.exe@RVA A3310
創業王音效.xls	中文	big5	1	SOUND.APKG@#87
創業資本雄厚	中文	big5	1	data/AIInfo.csv@L2
劃時代的科技產品，提升了小型晶圓機的生產效能，不僅能節省您寶貴的空間，售價及維修費用低廉更是它迷人之處，不過效能方面就差強人意了。	中文	big5	1	data/Machine_type.csv@L198
劃時代的科技產品，提升了小型電腦機的生產效能，不僅能節省您寶貴的空間，售價及維修費用低廉更是它迷人之處，不過效能方面就差強人意了。	中文	big5	1	data/Machine_type.csv@L183
劃時代的科技產品，提升了省料晶圓機的生產效能，體積雖然大了些，且需要四名員工才能操作，不過您的每分原料都將充分被運用，降低原料供應不足的風險。	中文	big5	1	data/Machine_type.csv@L199
劃時代的科技產品，提升了省料電腦機的生產效能，體積雖然大了些，且需要四名員工才能操作，不過您的每分原料都將充分被運用，降低原料供應不足的風險。	中文	big5	1	data/Machine_type.csv@L184
劃時代的科技產品，提升了自動晶圓機的生產效能，只要一個管理者就能輕鬆操作，讓您不必再為員工薪資煩惱了，不過生產時間略長，售價也不便宜。	中文	big5	1	data/Machine_type.csv@L201
劃時代的科技產品，提升了自動電腦機的生產效能，只要一個管理者就能輕鬆操作，讓您不必再為員工薪資煩惱了，不過生產時間略長，售價也不便宜。	中文	big5	1	data/Machine_type.csv@L186
劃時代的科技產品，提升了重型晶圓機的生產效能，能在各種環境中維持基本獲利空間，如果您沒有特殊偏好，重型就是最佳選擇了。	中文	big5	1	data/Machine_type.csv@L197
劃時代的科技產品，提升了重型電腦機的生產效能，能在各種環境中維持基本獲利空間，如果您沒有特殊偏好，重型就是最佳選擇了。	中文	big5	1	data/Machine_type.csv@L182
劃時代的科技產品，提升了高速晶圓機的生產效能，雖然犧牲了品質，且耗材略多，但能迅速量產，在市場上搶得先機。	中文	big5	1	data/Machine_type.csv@L200
劃時代的科技產品，提升了高速電腦機的生產效能，雖然犧牲了品質，且耗材略多，但能迅速量產，在市場上搶得先機。	中文	big5	1	data/Machine_type.csv@L185
加工機的實用型機種，如果您對產品沒什麼特別要求，重型就是最佳選擇了。	中文	big5	1	data/Machine_type.csv@L327
化價	中文	big5	1	data/maps.csv@L1
化工機的實用型機種，如果您對產品沒什麼特別要求，重型就是最佳選擇了。	中文	big5	1	data/Machine_type.csv@L207
化工類	中文	big5	1	data/AIInfo.csv@L7
化指	中文	big5	1	data/maps.csv@L1
北京	中文	big5	1	data/Citys.csv@L7
印刷機的實用型機種，出版業不可或缺的生財工具，如果您對產品沒什麼特別要求，重型就是最佳選擇了。	中文	big5	1	data/Machine_type.csv@L282
原始需求	中文	big5	1	CEO.exe@RVA A2DAC
原料1ID	中文	big5	1	data/product2.csv@L1
原料1品質	中文	big5	1	data/product2.csv@L1
原料1需求量	中文	big5	1	data/product2.csv@L1
原料2ID	中文	big5	1	data/product2.csv@L1
原料2品質	中文	big5	1	data/product2.csv@L1
原料2需求量	中文	big5	1	data/product2.csv@L1
原料3ID	中文	big5	1	data/product2.csv@L1
原料3品質	中文	big5	1	data/product2.csv@L1
原料3需求量	中文	big5	1	data/product2.csv@L1
原料4ID	中文	big5	1	data/product2.csv@L1
原料4品質	中文	big5	1	data/product2.csv@L1
原料4需求量	中文	big5	1	data/product2.csv@L1
原料成本 + 人力成本 + 機器成本 + 運費	中文	big5	1	data/formula.csv@L62
原料成本可直接取得	中文	big5	1	data/formula.csv@L63
取消	中文	big5	1	data/Talk_idx.csv@L13
只看距離, 選最近的	中文	big5	1	data/formula.csv@L98
台北	中文	big5	1	data/Citys.csv@L3
史上第一台實用型畜牧機，採用標準生產程序，是您生產各種肉製品的最佳選擇。	中文	big5	1	data/Machine_type.csv@L2
向某個零售點買的數量 N1 = Sum * S / 所有零售點S的加總	中文	big5	1	data/formula.csv@L26
呂薔芢	中文	big5	1	data/AIInfo.csv@L3
品控畜牧機	中文	big5	1	data/Machine_type.csv@L4
品控畜牧機的次世代機種，優質的生產程序，讓您的牲畜在古典樂的環境中快樂成長，雖然多花點時間，旦品質卻大幅提升。	中文	big5	1	data/Machine_type.csv@L13
品控精工機	中文	big5	1	data/Machine_type.csv@L354
品質 = (Match水 * C1 + C2)*C3 + (Match土 * C4 + C5)*C6	中文	big5	1	data/formula.csv@L50
品質: 該廠隨機抽樣	中文	big5	1	data/formula.csv@L77
品質適合土壤	中文	big5	1	data/product1.csv@L1
品質適合水質	中文	big5	1	data/product1.csv@L1
員工不足人數最多之廠房	中文	big5	1	data/Talk_idx.csv@L16
商場 2x2	中文	big5	1	data/build_relation.csv@L31
商場 3x3	中文	big5	1	data/build_relation.csv@L32
商場 4x4	中文	big5	1	data/build_relation.csv@L33
商場地板	中文	big5	1	data/smapclr.csv@L14
商場就像是危機四伏的叢林，果然不適合美麗的小白兔生存，看來本小姐得開始考慮找個好男人嫁掉算了！	中文	big5	1	data/Talk.csv@L102
喂！你真的要與我為敵嗎？ %s 的銷售策略必須與藝術及人性充分結合，像你這種大男人是不會懂的啦！	中文	big5	1	data/Talk.csv@L62
喂！你知道嗎？貴公司所生產的 %s 有嚴重瑕疵，就是那裡，有一個用顯微鏡就能看到的污點，美麗是不容有任何瑕疵的！	中文	big5	1	data/Talk.csv@L34
喂！告訴你一個秘密，我要開始零售 %s 了，而且你的生意一定會被我搶走，你不會一個人偷偷生悶氣這麼沒風度吧！	中文	big5	1	data/Talk.csv@L76
喂！最近手頭有點緊，剛好情人節快到了，本小姐願意接受你用現金當禮物………，已經暗示你囉！	中文	big5	1	data/Talk.csv@L88
喂！貴公司的 %s 造型真是有礙觀瞻，本小姐實在看不下去了，今天開始就由耐急來生產吧！	中文	big5	1	data/Talk.csv@L48
喜歡採礦的程度(礦場)	中文	big5	1	data/AI_style.csv@L1
喜歡生產的程度(工廠)	中文	big5	1	data/AI_style.csv@L1
喜歡畜牧類產品的程度	中文	big5	1	data/AI_style.csv@L1
喜歡種田的程度(農場)	中文	big5	1	data/AI_style.csv@L1
喜歡零售的程度(商場)	中文	big5	1	data/AI_style.csv@L1
單菱商社正式宣佈成立，想到我公司上班嗎，寄履歷來吧，哈哈哈！	中文	big5	1	data/Talk.csv@L3
單菱的 %s 即將問世，你不必太驚訝，老子就是有錢，和你這個窮鬼玩玩尋開心而已，哈哈哈！	中文	big5	1	data/Talk.csv@L46
單菱的 %s 開始正式發賣了，壞消息是貴公司可能撐不久了，好消息是你如果失業的話，可以來單菱應徵作業員，哈哈哈！	中文	big5	1	data/Talk.csv@L74
四層公寓	中文	big5	1	data/building.csv@L85
國民住宅大樓(5層)	中文	big5	1	data/smapclr.csv@L48
圖書玩具零售機	中文	big5	1	data/product1.csv@L1
圖片編號	中文	big5	1	data/news.csv@L1
土價	中文	big5	1	data/maps.csv@L1
土壤水質:	中文	big5	1	data/formula.csv@L49
土指	中文	big5	1	data/maps.csv@L1
土種類	中文	big5	1	data/txts.csv@L1
在大地圖上點選「木材礦」查詢地價，找一個買得起的買下去！	中文	big5	1	CEO.exe@RVA A48CD
在左上人員薪資界面中，「車子」那行就是外務員，調整薪資僱用一名外務員。	中文	big5	1	CEO.exe@RVA A3B4B
在左上人員薪資界面中，發現外務員報到時，按右下角「退出箭頭」回到世界地圖。	中文	big5	1	CEO.exe@RVA A3AAF
地中海	中文	big5	1	data/maps.csv@L12
地價 = (A + C1) * 面積 * C2/C3 + 礦藏量*礦標準價 *C4/C5 * (品質+100)/200	中文	big5	1	data/formula.csv@L104
地圖名稱	中文	big5	1	data/maps.csv@L1
地圖尺寸請調整為	中文	big5	1	CEO.exe@RVA A2F6C
地圖編號	中文	big5	1	data/Stages.csv@L1
地皮售價:	中文	big5	1	data/formula.csv@L101
城市名稱	中文	big5	1	data/Citys.csv@L1
城市Ｘ	中文	big5	1	data/Stages.csv@L1
城市Ｙ	中文	big5	1	data/Stages.csv@L1
基本分數	中文	big5	1	data/Stages.csv@L1
基本工人日薪 = C4	中文	big5	1	data/formula.csv@L6
基本工資:	中文	big5	1	data/formula.csv@L4
基本管理人日薪 = C3	中文	big5	1	data/formula.csv@L5
塑化機的實用型機種，如果您對產品沒什麼特別要求，重型就是最佳選擇了。	中文	big5	1	data/Machine_type.csv@L102
增加日照時間，大量施肥以縮短農作物的生長期，雖然品質略受影響，但傲人的生長速度讓您能提前豐收。	中文	big5	1	data/Machine_type.csv@L18
增加產能	中文	big5	1	data/AIInfo.csv@L7
墨斯科	中文	big5	1	data/Citys.csv@L17
大膽！你居然敢搶單菱的生意，我武田一定會讓你栽在 %s 中，哈哈哈！	中文	big5	1	data/Talk.csv@L60
太平洋地區	中文	big5	1	data/maps.csv@L20
失業已成為歐洲各國政府最頭痛的問題了，連帶使得生產力及消費能力衰退，為了響應歐盟所提出的「產業升級經濟起飛計畫」，您決定投入電子產業，帶動整體經濟發展，只要在15年內讓電子產品（由電子機所生產出來的產品）年營收到達1億元，就能讓這個計劃實現！	中文	big5	1	data/Stages.csv@L18
奈米品控畜牧機	中文	big5	1	data/Machine_type.csv@L16
奈米品控精工機	中文	big5	1	data/Machine_type.csv@L366
奈米小型加工機	中文	big5	1	data/Machine_type.csv@L348
奈米小型化工機	中文	big5	1	data/Machine_type.csv@L228
奈米小型印刷機	中文	big5	1	data/Machine_type.csv@L299
奈米小型塑化機	中文	big5	1	data/Machine_type.csv@L123
奈米小型採礦機	中文	big5	1	data/Machine_type.csv@L49
奈米小型晶圓機	中文	big5	1	data/Machine_type.csv@L203
奈米小型木工機	中文	big5	1	data/Machine_type.csv@L98
奈米小型燒窯機	中文	big5	1	data/Machine_type.csv@L253
奈米小型紡織機	中文	big5	1	data/Machine_type.csv@L73
奈米小型輪車機	中文	big5	1	data/Machine_type.csv@L278
奈米小型重電機	中文	big5	1	data/Machine_type.csv@L173
奈米小型電子機	中文	big5	1	data/Machine_type.csv@L148
奈米小型電腦機	中文	big5	1	data/Machine_type.csv@L188
奈米小型食品機	中文	big5	1	data/Machine_type.csv@L323
奈米有機農田機	中文	big5	1	data/Machine_type.csv@L31
奈米標準畜牧機	中文	big5	1	data/Machine_type.csv@L14
奈米標準精工機	中文	big5	1	data/Machine_type.csv@L364
奈米標準農田機	中文	big5	1	data/Machine_type.csv@L29
奈米省料加工機	中文	big5	1	data/Machine_type.csv@L349
奈米省料化工機	中文	big5	1	data/Machine_type.csv@L229
奈米省料印刷機	中文	big5	1	data/Machine_type.csv@L300
奈米省料塑化機	中文	big5	1	data/Machine_type.csv@L124
奈米省料晶圓機	中文	big5	1	data/Machine_type.csv@L204
奈米省料木工機	中文	big5	1	data/Machine_type.csv@L99
奈米省料燒窯機	中文	big5	1	data/Machine_type.csv@L254
奈米省料紡織機	中文	big5	1	data/Machine_type.csv@L74
奈米省料輪車機	中文	big5	1	data/Machine_type.csv@L279
奈米省料重電機	中文	big5	1	data/Machine_type.csv@L174
